date,price,city
Septiembre 2017,16.1,barcelona
Agosto 2017,15.9,barcelona
Julio 2017,16.0,barcelona
Junio 2017,16.0,barcelona
Mayo 2017,16.0,barcelona
Abril 2017,16.1,barcelona
Marzo 2017,16.1,barcelona
Febrero 2017,16.1,barcelona
Enero 2017,16.0,barcelona
Diciembre 2016,15.8,barcelona
Noviembre 2016,15.5,barcelona
Octubre 2016,15.0,barcelona
Septiembre 2016,14.4,barcelona
Agosto 2016,14.1,barcelona
Julio 2016,14.0,barcelona
Junio 2016,13.9,barcelona
Mayo 2016,13.8,barcelona
Abril 2016,13.7,barcelona
Marzo 2016,13.7,barcelona
Febrero 2016,13.7,barcelona
Enero 2016,13.6,barcelona
Diciembre 2015,13.3,barcelona
Noviembre 2015,13.0,barcelona
Octubre 2015,12.8,barcelona
Septiembre 2015,12.5,barcelona
Agosto 2015,12.3,barcelona
Julio 2015,12.2,barcelona
Junio 2015,12.2,barcelona
Mayo 2015,12.1,barcelona
Abril 2015,12.1,barcelona
Marzo 2015,12.0,barcelona
Febrero 2015,12.0,barcelona
Enero 2015,11.9,barcelona
Diciembre 2014,11.8,barcelona
Noviembre 2014,11.6,barcelona
Octubre 2014,11.5,barcelona
Septiembre 2014,11.3,barcelona
Agosto 2014,11.1,barcelona
Julio 2014,11.1,barcelona
Junio 2014,11.1,barcelona
Mayo 2014,11.0,barcelona
Abril 2014,10.9,barcelona
Marzo 2014,11.0,barcelona
Febrero 2014,10.9,barcelona
Enero 2014,10.8,barcelona
Diciembre 2013,10.9,barcelona
Noviembre 2013,10.9,barcelona
Octubre 2013,10.9,barcelona
Septiembre 2013,10.9,barcelona
Agosto 2013,10.8,barcelona
Julio 2013,10.9,barcelona
Junio 2013,10.9,barcelona
Mayo 2013,10.9,barcelona
Abril 2013,11.0,barcelona
Marzo 2013,11.1,barcelona
Febrero 2013,11.1,barcelona
Enero 2013,11.2,barcelona
Diciembre 2012,11.3,barcelona
Noviembre 2012,11.4,barcelona
Octubre 2012,11.5,barcelona
Septiembre 2012,11.6,barcelona
Agosto 2012,11.6,barcelona
Julio 2012,11.6,barcelona
Junio 2012,11.6,barcelona
Mayo 2012,11.7,barcelona
Abril 2012,11.7,barcelona
Marzo 2012,11.9,barcelona
Febrero 2012,12.0,barcelona
Enero 2012,12.0,barcelona
Diciembre 2011,12.0,barcelona
Noviembre 2011,12.0,barcelona
Octubre 2011,12.1,barcelona
Septiembre 2011,12.0,barcelona
Agosto 2011,12.0,barcelona
Julio 2011,12.1,barcelona
Junio 2011,12.3,barcelona
Mayo 2011,12.5,barcelona
Abril 2011,12.6,barcelona
Marzo 2011,12.7,barcelona
Febrero 2011,12.7,barcelona
Enero 2011,12.8,barcelona
Diciembre 2010,12.9,barcelona
Noviembre 2010,13.1,barcelona
Octubre 2010,13.2,barcelona
Septiembre 2010,13.3,barcelona
Agosto 2010,13.2,barcelona
Julio 2010,13.5,barcelona
Junio 2010,13.5,barcelona
